0.010000000000000009,0.99
0.0003000000000000005,0.03940000000000003,0.9602999999999999
6.60000000000001e-05,0.008902000000000005,0.241998,0.749034
1.3200000000000032e-06,0.00024272000000000036,0.013563920000000009,0.25213872,0.73405332
5.280000000000013e-07,9.788000000000015e-05,0.0055712000000000044,0.10899384,0.44490456,0.440431992
3.168000000000011e-08,6.3691200000000155e-06,0.0004262792000000007,0.011776558400000008,0.1291484832,0.44463620591999997,0.41400607248
1.584000000000007e-09,3.4855200000000115e-07,2.736462400000007e-05,0.0009937931600000017,0.01764515464000001,0.14492286933600002,0.44310469924799994,0.393305768856
1.7424000000000073e-10,3.975048000000013e-08,3.3203199200000085e-06,0.00013367176296000025,0.0028254429228000027,0.03164570325656001,0.17772287062632,0.4376268169048799,0.35004213428184
1.0454400000000054e-11,2.5488144000000105e-09,2.365846464000008e-07,1.114140650240003e-05,0.0002951780325504005,0.004554658542825604,0.04041033329874561,0.1933171074030336,0.43237173594749756,0.32903960622492956
3.659040000000019e-12,8.988804000000036e-10,8.446135560000028e-08,4.05327229600001e-06,0.0001105542256192002,0.0017859962111467218,0.017104144707397604,0.09392770423524639,0.27698622739359596,0.39620549054459875,0.2138757440462042
2.1954240000000133e-13,5.7372321600000285e-11,5.912628912000025e-09,3.225900120240011e-07,1.0443329495392027e-05,0.00021108074475085158,0.0027050851209217755,0.021713558279068533,0.10491121562474738,0.28413938318265614,0.3852657057546951,0.20104319940343196
5.708102400000034e-14,1.5079264992000078e-11,1.5797390351040067e-09,8.824874852112032e-08,2.953982277699688e-06,6.260905746181151e-05,0.0008595218825552918,0.007647288142039932,0.043344949188945034,0.15151053918980367,0.3104322270513863,0.33736785410336667,0.14877196755853964
